validation: epoch: 140, nrg_mae: 1.6721723079681396 meV/atom, force_mae: 16.550439834594727 meV/AA, max fae: 245.95042419433594 meV/AA 
validation: epoch: 141, nrg_mae: 1.691860556602478 meV/atom, force_mae: 16.514381408691406 meV/AA, max fae: 242.22344970703125 meV/AA 
validation: epoch: 142, nrg_mae: 1.6692190170288086 meV/atom, force_mae: 16.46684455871582 meV/AA, max fae: 242.42742919921875 meV/AA 
validation: epoch: 143, nrg_mae: 1.6614837646484375 meV/atom, force_mae: 16.443805694580078 meV/AA, max fae: 240.26254272460938 meV/AA 
validation: epoch: 144, nrg_mae: 1.6572067737579346 meV/atom, force_mae: 16.401430130004883 meV/AA, max fae: 237.08291625976562 meV/AA 
validation: epoch: 145, nrg_mae: 1.656996726989746 meV/atom, force_mae: 16.373369216918945 meV/AA, max fae: 239.81466674804688 meV/AA 
validation: epoch: 146, nrg_mae: 1.6778860092163086 meV/atom, force_mae: 16.31985855102539 meV/AA, max fae: 243.3444061279297 meV/AA 
validation: epoch: 147, nrg_mae: 1.687092661857605 meV/atom, force_mae: 16.27669334411621 meV/AA, max fae: 241.21324157714844 meV/AA 
validation: epoch: 148, nrg_mae: 1.6665520668029785 meV/atom, force_mae: 16.24065399169922 meV/AA, max fae: 242.5384521484375 meV/AA 
validation: epoch: 149, nrg_mae: 1.6545287370681763 meV/atom, force_mae: 16.203670501708984 meV/AA, max fae: 241.79258728027344 meV/AA 
validation: epoch: 150, nrg_mae: 1.6231743097305298 meV/atom, force_mae: 16.176328659057617 meV/AA, max fae: 238.63790893554688 meV/AA 
validation: epoch: 151, nrg_mae: 1.629319667816162 meV/atom, force_mae: 16.128143310546875 meV/AA, max fae: 235.97108459472656 meV/AA 
validation: epoch: 152, nrg_mae: 1.6456985473632812 meV/atom, force_mae: 16.077669143676758 meV/AA, max fae: 234.35964965820312 meV/AA 
validation: epoch: 153, nrg_mae: 1.6439199447631836 meV/atom, force_mae: 16.040071487426758 meV/AA, max fae: 235.36582946777344 meV/AA 
validation: epoch: 154, nrg_mae: 1.5876357555389404 meV/atom, force_mae: 16.01062774658203 meV/AA, max fae: 237.6864013671875 meV/AA 
validation: epoch: 155, nrg_mae: 1.5629321336746216 meV/atom, force_mae: 15.971515655517578 meV/AA, max fae: 241.713134765625 meV/AA 
validation: epoch: 156, nrg_mae: 1.560459852218628 meV/atom, force_mae: 15.93323802947998 meV/AA, max fae: 247.54518127441406 meV/AA 
